# NAAIM Exposure Index: weekly survey of active managers' US equity exposure (-200% to +200%), by survey date.
# Source: National Association of Active Investment Managers (naaim.org): USE_Data-since-Inception_2026-07-29.xlsx,
# the last free full-history file before subscription access began on 2026-08-01. The index is the survey mean
# (the file's Mean/Average column, which NAAIM's own table shows as the NAAIM Number). Personal use.
week,naaim,bearish,quartile1,median,quartile3,bullish,deviation
2008-03-19,44,0,10,37.5,66.25,200,44.17
2008-03-26,26.69,-200,0,34,50,200,69.09
2008-04-02,42.07,-180,10,35,81.25,200,72.95
2008-04-09,46.92,-125,30,50,80,200,69.47
2008-04-16,49.86,-200,25,50,80,200,56.32
2008-04-23,59.27,0,25,50,89.5,200,41.97
2008-05-01,74.47,0,50,65,90,200,44.96
2008-05-07,66.04,-15,50,80,97.5,125,37.8
2008-05-14,56.41,-200,25,70,100,200,68.46
2008-05-21,68.72,-125,35,75,100,200,65.7
2008-05-28,69.48,-125,40,70,100,200,66.21
2008-06-04,58.15,-125,30,50,100,200,65.79
2008-06-11,36.46,-200,0,30,85,200,78.83
2008-06-18,44.22,-160,7.5,40,86.25,200,65.08
2008-06-25,32,-50,0,25,63.5,200,55.26
2008-07-02,28.03,-50,0,24.5,52.5,200,52.72
2008-07-09,2.03,-200,-40,0,45,200,75.85
2008-07-16,10.22,-200,0,5,50,100,51.28
2008-07-23,13.81,-200,0,20,50,100,57.91
2008-07-30,12.56,-200,0,20,50,100,61.75
2008-08-06,18.3,-200,0,20,50,100,52.66
2008-08-13,33.27,-50,0,20,50,200,53.12
2008-08-21,39.76,-50,3.25,29,56,200,50.1
2008-08-27,30.03,-50,0,20,50,200,50.18
2008-09-03,29.92,-200,0,30,50,200,65.07
2008-09-10,28.32,-50,0,19.25,50,200,44.25
2008-09-17,16.09,-125,0,10,30,200,47.42
2008-09-24,19.11,-125,0,10.5,26.25,200,46.36
2008-10-01,16.27,-100,0,0,33,100,33.41
2008-10-08,-2.97,-200,0,0,16.25,50,51.28
2008-10-15,18,-80,0,5,33.5,200,40.55
2008-10-22,8.37,-200,0,2.5,32.25,100,44.13
2008-10-29,10,-200,0,2.5,40,125,53.88
2008-11-05,9.62,-200,0,2.5,38.75,100,49.89
2008-11-12,15.06,-80,0,5,30,200,44.41
2008-11-19,11.71,-100,0,0,20,200,43.98
2008-11-26,9.67,-200,0,0,25,200,57.85
2008-12-03,9.65,-80,0,0,25,200,45.36
2008-12-10,3.68,-200,0,0,22.5,100,49.21
2008-12-17,14.43,-200,0,10,50,140,53.49
2008-12-24,24.41,-200,0,10,50,170,55.29
2008-12-31,22.06,-200,0,16,51.25,155,55.14
2009-01-07,29.09,-200,5,40,50,100,51.01
2009-01-14,26.51,-200,0,33,50,200,64.58
2009-01-21,19.67,-200,0,32,50,100,51.04
2009-01-28,20.22,-200,0,25,50,100,49.01
2009-02-04,17.8,-100,0,20,39,100,33.09
2009-02-11,24.14,-50,0,10,45.5,200,42.69
2009-02-18,25.97,-40,0,15,45,200,49.84
2009-02-25,13.35,-200,0,15,37.25,100,46.38
2009-03-04,2.15,-200,0,0,22.5,100,48.8
2009-03-11,4.23,-200,0,5,17.5,100,51
2009-03-18,9.97,-200,0,15,36.25,100,50.63
2009-03-25,47.75,-50,15.75,50,60,200,49.16
2009-04-01,18.85,-200,0,25,50,125,67.93
2009-04-08,35.3,-200,5,38,50,200,59.14
